,V1,V2
face,19,21
face,21,10
face,21,9
face,10,2
face,9,1
face,2,23
face,1,22
face,23,22
face,9,37
face,37,24
face,24,34
face,34,11
face,11,15
face,11,17
face,17,25
face,25,9
face,12,38
face,12,16
face,12,12
face,18,12
face,38,10
face,32,31
face,34,33
face,22,33
face,1,33
cranium,31,29
cranium,31,35
cranium,29,13
cranium,35,13
cranium,35,5
cranium,5,13
cranium,5,27
cranium,13,3
cranium,27,3
cranium,35,36
cranium,29,30
cranium,13,14
cranium,3,4
cranium,5,7
cranium,5,6
cranium,27,7
cranium,7,3
cranium,7,26
cranium,3,26
cranium,4,26
cranium,26,20
cranium,20,8
cranium,14,20
cranium,13,20
cranium,29,8
cranium,30,8
cranium,8,19
cranium,30,14
cranium,36,14
cranium,6,28
cranium,28,7
cranium,6,7
cranium,36,6
cranium,30,32
cranium,36,32
cranium,14,4
cranium,28,4
